



                       TABLA PARA CORRECCION DE COLORES




    Nº de color     R   G   B         X      Y       Z           x        y
                                                                     
                                                                     
         0         99   90  11      78.6    90.8    11.8     0.434    0.501     
         1         98   80  22      77.2    82.7    22.6     0.423    0.453     
         2         97   70  33      75.8    74.6    33.4     0.413    0.406     
         3         96   60  44      74.4    66.5    44.2     0.402    0.359     
         4         95   50  55      73.1    58.3    55.0     0.392    0.313     
                                       
         5         94   40  66      71.7    50.2    65.7     0.382    0.268     
         6         93   30  74      69.7    42.1    73.6     0.376    0.227     
         7         92   20  88      68.9    34.0    87.3     0.362    0.179     
         8         91   10  99      67.5    25.9    98.1     0.352    0.135     
         9         90   11  99      67.3    26.5    98.1     0.351    0.138     
                                                                     
        10         80   22  98      65.6    33.7    97.2     0.334    0.171    
        11         70   33  97      63.9    40.8    96.4     0.318    0.203    
        12         60   44  96      62.2    48.0    95.5     0.303    0.233    
        13         50   55  95      60.5    55.1    94.6     0.288    0.262    
        14         40   66  94      58.9    62.3    93.7     0.274    0.290    
                                                                     
        15         30   77  93      57.2    69.4    92.8     0.261    0.316    
        16         20   88  92      55.5    76.6    92.0     0.248    0.342    
        17         10   99  91      53.8    83.7    91.1     0.235    0.366    
        18         11   99  90      54.1    83.9    90.1     0.237    0.368    
        19         22   98  80      57.2    84.8    80.2     0.257    0.382    
                                                                     
        20         33   97  70      60.2    85.8    70.3     0.278    0.397    
        21         44   96  60      63.3    86.8    60.4     0.301    0.412    
        22         55   95  50      66.4    87.7    50.5     0.325    0.429    
        23         66   94  40      69.5    88.7    40.5     0.350    0.446    
        24         77   93  30      72.6    89.7    30.6     0.376    0.465    
                                                                     
        25         88   92  20      75.6    90.6    20.7     0.404    0.485     
        26         99   91  10      78.7    91.6    10.8     0.435    0.506     
        27         90   05  10      47.7    20.2     9.9     0.613    0.259      
        28         50   05  50      36.0    13.7    49.5     0.363    0.138      
        29         29   05  90      24.5     7.3    89.2     0.202    0.061      
